Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
GAREM1,DHX58,DIRAS1,GAMT,FOXF2
GAREM2,DMXL1,DIRAS2,GAS2,FOXL2
FAM76B,DNAJB13,DISP2,GFOD1,FOXQ1
FAM83B,DNAJC1,DKKL1,GFOD2,FREM1
FARS2,DNAJC13,DLG2,GFRA1,FRK
FAT1,DNASE1L3,DLG3,GFRA2,FRMD4B
FBP2,DNASE2,DLGAP2,GGCT,FUT4
FBXL21P,DNM2,DLX1,GJB1,TIMM10B
FBXO2,DNTTIP1,DLX2,GJC3,FXYD5
FDFT1,DOCK2,DLX5,GLRA4,FZD4
FGA,DOCK8,DLX6,GLRB,FZD6
FGD4,DOK1,DMRT3,GLTP,G6PC
FGD6,DOK2,DMRTA2,NOP53,GABPB1
FGF1,DOK3,DMXL2,GMDS,GADD45A
FGF2,DPP7,DNAH1,GNA12,GALNT15
FGFBP3,DQX1,DNAJB6,GNAT1,GALNT18
FGFR1,DTNBP1,DNAJC27,GNB4,GATA2
CEP43,DTX4,DNAJC6,GNE,GATA3
FGFR2,DUOXA1,DNAJC9,GNG12,GBE1
FGFR3,DUSP29,DNER,GNG13,GBP2
FHL1,DUSP1,DNM1,GNG8,GBP5
FICD,DUSP13,DNMT3A,GNPTAB,GCHFR
VEGFD,DUSP2,DOC2A,GNPTG,GCNT2
FJX1,STYXL2,DOC2B,GP1BB,MYZAP
FKBP9,DUSP5,DPYSL3,GPATCH11,GDPD3
FLNC,DVL2,DPYSL5,GPR158,GIMAP1
FLOT2,DYRK2,DRD1,GPR17,GIMAP4
FMN2,DYRK4,DRD2,GPR37,GIMAP6
FMO1,E2F2,DRD5,GPR62,GIMAP8
FMO4,RNASE2,DSG1,GPR75,GIPC3
FNDC5,EBI3,DSP,GPRC5B,GJA4
FOS,EDEM1,DUSP14,GPT2,GJA5
FOSB,EDEM2,DUSP4,GRB14,GJC1
FOXR2,EEF2K,DUSP8,GRHPR,GLIPR2
FOXRED1,EFHD2,DUT,GRIA3,GLYATL3
FRAS1,EFR3A,DYNC1I1,GRIK3,GMNN
FREM2,EGR1,DZANK1,GRIK4,GNG11
FRMPD1,EGR2,EBF2,GRIN3A,GNG5
CMTR2,EGR3,EBF3,GRXCR2,GOLIM4
FUT9,EHD1,ECEL1,PPP1R17,GPCPD1
FXYD1,EHD4,EEF1A2,GSN,ADGRF5
FZD10,EID3,EFCAB6,GSS,ADGRA2
FZD2,EIF4EBP1,EFHC2,GSTP1,ADGRG6
GABBR1,ELF4,EFNA3,GSX1,GPR143
GABBR2,ELMO1,EFNA5,GSX2,SLC52A2
GABPB2,EML3,EHMT1,GTF2H4,GPER1
GABRA4,EMP3,EHMT2,GUCY2F,GPR4
GABRB1,ADGRE1,EIF2AK3,HAPLN2,ADGRG3
GABRG1,ENGASE,EIF4ENIF1,HCN2,GPRC5A
GADD45G,ENO3,ELAVL2,HEATR3,TAMALIN
GALNT4,ENPP4,ELAVL4,HHATL,GRB10
GAS1,ENTPD1,ELF2,HIF1AN,GRB7
GCDH,EPDR1,ELMOD1,HIP1,C12orf57
GCNT4,EPN1,EMC9,HIP1R,GRK5
GCSH,EPSTI1,EML5,H2AC16,GRP
GDPD2,EPX,EMSY,H2BC10,FAM110D
GFAP,ERAP1,EMX2,H2BC6,GSTM1
GJA1,ERMAP,ENO2,H2BC17,GSTT2
GJB6,ERP29,ENOX1,H4C6,GTF2E2
GLB1L,ESR1,ENTPD3,H4C9,GYPC
GLDC,ETV3,EOMES,H4-16,HAUS1
GLI1,EVI2B,EP400,H2AC18,HBP1
GLI2,EVL,DMTN,H2AC20,HDAC7
GLI3,F11R,EPB41L4B,HOXD1,HEG1
GLIS3,F13A1,EPC2,HPCAL4,HEPH
GLUD1,F9,EPHA10,HR,HHEX
GNAO1,FADD,EPHA3,PLAAT1,HIC1
GOLGB1,FCMR,EPHA6,HS3ST1,HIGD1B
GPAM,OTULINL,EPHA7,HTR5A,H2AC4
GPATCH2,OTULIN,EPHA8,HYPK,H3C13
GPC4,FAM110A,EPHB2,IBSP,HMCN1
GPC6,FAM167B,EPHB6,CILK1,HMG20B
GPD2,EVA1A,EPM2AIP1,IFFO1,HMGCS2
GPM6A,CALHM6,ERC2,IFIT2,HOPX
GPM6B,FAM3A,ERI1,IGF2,HSD3B7
GPR156,TENT5B,ERO1B,IGSF8,HSF4
GPR179,TENT5C,ESRRG,IGSF9B,HSPA12B
GPR19,CYRIB,EXOSC4,IL17D,HSPB1
GPR3,FAM78A,EYA2,IL17RB,HSPB2
GPR37L1,FAM83G,EZH2,IL1RAP,HSPB8
PTGDR2,FBLIM1,FABP3,IMP4,HSPG2
ADGRG1,FBRS,RAMAC,INF2,HTR2A
GPR63,FBXW4,TCAF1,INHBC,HTRA3
GPRC5D,FCER1G,FAM117B,INPP5B,HYAL2
GPT,FCGR1A,FAM120B,INPPL1,ICAM2
GPX8,FCGR2B,AMER3,INSC,IER5L
GRAMD4,FCGR2A,FAM131A,IQCJ,IFI44
GREB1,FCGR3A,FAM131C,IRX1,IFIH1
GRHL1,FCGRT,C1QTNF12,ISG20,IFITM2
GRIN2C,FCRL1,ALKAL2,ITGA8,IFITM3
GRM3,FERMT3,SHISAL2B,ITGAD,LMNTD1
GRM5,FES,FAM163B,ITGAV,IFNAR1
GSG1L,FEZ2,FAM171A2,ITGB4,IGBP1
GSTK1,FGD2,FAM185A,ITGB7,IGF1R
GSTM5,FGR,FAM189B,ITGB8,IGFBP1
GSTM3,FHL3,INSYN2A,ITIH2,IGFBP7
GSTZ1,FIGNL2,FAM43B,ITIH5,IGSF5
GUCY1A1,FKBP5,TLCD3B,ITPR2,IL13RA1
GULP1,FLCN,RIPOR2,JAM3,IL15
LARGE2,FMNL3,FAM71E1,JMY,IL17RC
GYS1,FNDC7,FAM78B,JOSD2,IL17RE
HACL1,FNIP2,FAM89B,KANK1,IL1R1
HADH,FOLR2,FANK1,KATNAL1,IL20RB
HADHA,FOXP4,FASTKD5,KAZN,IL27RA
HAPLN1,FPR1,FAT2,KBTBD7,IL2RG
HECTD2,FPR2,FAT3,KCND2,IL3RA
HEPACAM,FRRS1,FBXL16,KCNH8,IL6
HERC6,FSCN1,FBXL19,KCNIP3,IMPDH1
HES5,FTL,FBXL2,KCNJ16,INSL3
HEY2,FUCA1,FBXO30,KCNK1,INSR
HGF,FURIN,FBXO41,KCNK10,IPMK
HHIPL1,FYB1,FCHSD1,KCNMB4,IQCG
HIF3A,G3BP1,FGF13,KCTD13,IQGAP1
HIGD1A,GAB2,FGF9,KCTD15,IRF7
H3C4,GABRD,FIBCD1,KCTD4,IRF9
H3C11,GADD45B,FIBIN,KHDRBS2,IRX3
HMGCR,GAL3ST4,FKBP11,KIAA1549,ISM1
HMGN1,GALK2,FKBP1B,KIF13A,ISYNA1
HOGA1,GALM,FKBP3,KIF13B,ITGA1
RIDA,GALNS,FLRT3,KIF18B,ITGA2B
HS3ST3A1,GALNT12,FLYWCH1,KIF19,ITGA4
HS3ST3B1,GALT,FLYWCH2,KIF2C,ITGB1
HSD11B1,GANC,FMN1,KIF5A,ITGB3BP
HSPA2,GAS6,FNBP4,KL,ITM2A
HTRA1,GATM,FNDC3B,KLC3,ITPR1
ID3,GBA,FOXG1,KLHDC4,ITPRIP
ID4,GBGT1,FOXJ3,KLHL13,ITSN2
IDI1,GBP7,FOXK2,KLK6,JAG1
IFT122,GCN1,FOXO3,KNDC1,JAG2
IFT140,GCNT1,FOXO6,KNTC1,JAK2
IGDCC4,GDF15,FRAT1,KRT1,AJUBA
IGF2BP3,GDPGP1,FRMPD3,KRT17,KANK3
IGFBP2,GGA2,FRMPD4,AFG1L,KANK4
IGFBP5,GGH,FSIP1,LAD1,KCNA5
IGSF1,GGT5,FSTL4,LARP6,KCNE3
IKBIP,GIT2,FUT7,LBH,KCNG2
IL15RA,GLA,FXYD7,DENND11,KCNJ14
IL17RD,GLIPR1,GABRA1,LCORL,KCNJ15
